DVY,20190311,LOWEST
SHV,20190311,LOWEST
IGSB,20190311,LOWEST
JBHT,20190311,LOWEST
JCOM,20190311,LOWEST
JKHY,20190311,LOWEST
JAZZ,20190311,LOWEST
JBLU,20190213,LOW
KLAC,20190220,LOW
LRCX,20190220,LOW
LAMR,20190311,LOWEST
LANC,20190311,LOWEST
LSTR,20190311,LOWEST
TREE,20190311,LOWEST
LHCG,20190311,LOWEST
LBRDA,20190311,LOWEST
LBRDK,20190311,LOWEST
LILA,20190220,LOW
LILAK,20190220,LOW
FWONK,20190208,LOW
LSXMK,20190208,LOW
LECO,20190311,LOWEST
LFUS,20190311,LOWEST
LIVN,20190220,LOW
LKQ,20190311,LOWEST
LOGI,20190212,LOW
LOGM,20190311,LOWEST
LPLA,20190311,LOWEST
LULU,20190220,LOW
LULU,20190131,LOW
LITE,20190220,LOW
MANH,20190311,LOWEST
MKTX,20190220,LOW
MRVL,20190215,LOW
MASI,20190311,LOWEST
MTCH,20190220,LOW
MAT,20190220,LOW
MXIM,20190311,LOWEST
MBFI,20190214,LOW
MDSO,20190311,LOWEST
MLCO,20190311,LOWEST
MLNX,20190218,LOW
MELI,20190220,LOW
MEOH,20190311,LOWEST
MCHP,20190220,LOW
MU,20190220,LOW
MU,20190131,LOW
TIGO,20190131,LOW
MKSI,20190311,LOWEST
MRNA,20190311,LOWEST
MOMO,20190311,LOWEST
MDB,20190311,LOWEST
MPWR,20190311,LOWEST
MNST,20190220,LOW
MNST,20190131,LOW
MORN,20190311,LOWEST
NDAQ,20190212,LOW
NATI,20190311,LOWEST
NKTR,20190220,LOW
NTAP,20190220,LOW
NBIX,20190311,LOWEST
NWL,20190220,LOW
NWS,20190220,LOW
NWSA,20190220,LOW
NXST,20190220,LOW
NXST,20190131,LOW
NICE,20190220,LOW
NDSN,20190311,LOWEST
NTRS,20190220,LOW
NCLH,20190311,LOWEST
NVCR,20190311,LOWEST
NUAN,20190220,LOW
NTNX,20190311,LOWEST
NVDA,20190218,LOW
NXPI,20190220,LOW
NXPI,20190131,LOW
OKTA,20190311,LOWEST
ODFL,20190311,LOWEST
OLLI,20190311,LOWEST
OMCL,20190311,LOWEST
ON,20190311,LOWEST
OTEX,20190311,LOWEST
ORLY,20190311,LOWEST
PCAR,20190311,LOWEST
PACW,20190311,LOWEST
PAYX,20190220,LOW
PCTY,20190311,LOWEST
PYPL,20190206,LOW
PEGA,20190311,LOWEST
PBCT,20190311,LOWEST
PPC,20190220,LOW
PNFP,20190311,LOWEST
PS,20190311,LOWEST
POOL,20190311,LOWEST
BPOP,20190220,LOW
PRAH,20190311,LOWEST
PFG,20190311,LOWEST
PFPT,20190311,LOWEST
TQQQ,20190311,LOWEST
PTC,20190220,LOW
QGEN,20190311,LOWEST
QRVO,20190220,LOW
QRTEA,20190311,LOWEST
QRTEB,20190311,LOWEST
ROLL,20190311,LOWEST
RP,20190220,LOW
REG,20190311,LOWEST
ROKU,20190220,LOW
ROKU,20190131,LOW
ROST,20190311,LOWEST
RGLD,20190205,LOW
RYAAY,20190220,LOW
RYAAY,20190131,LOW
SABR,20190220,LOW
SAGE,20190220,LOW
SAGE,20190131,LOW
SRPT,20190207,LOW
SBAC,20190311,LOWEST
STX,20190311,LOWEST
SGEN,20190311,LOWEST
SEIC,20190311,LOWEST
SIGI,20190311,LOWEST
SMTC,20190311,LOWEST
SBNY,20190311,LOWEST
SLAB,20190311,LOWEST
SINA,20190220,LOW
SBGI,20190213,LOW
SIRI,20190220,LOW
SIRI,20190131,LOW
SWKS,20190220,LOW
SLM,20190311,LOWEST
ONCE,20190203,LOW
SAVE,20190311,LOWEST
SPLK,20190311,LOWEST
SSNC,20190311,LOWEST
STLD,20190311,LOWEST
SRCL,20190311,LOWEST
STNE,20190311,LOWEST
SIVB,20190311,LOWEST
SYMC,20190220,LOW
SYNH,20190311,LOWEST
SNPS,20190311,LOWEST
TTWO,20190220,LOW
TNDM,20190216,LOW
AMTD,20190220,LOW
AMTD,20190131,LOW
TECD,20190311,LOWEST
TER,20190311,LOWEST
TXN,20190220,LOW
TXN,20190131,LOW
TXRH,20190311,LOWEST
TFSL,20190311,LOWEST
GT,20190220,LOW
KHC,20190201,LOW
MSG,20190311,LOWEST
MIDD,20190311,LOWEST
TSG,20190206,LOW
TTD,20190220,LOW
ULTI,20190220,LOW
TLRY,20190131,LOW
TSCO,20190311,LOWEST
TRMB,20190311,LOWEST
TRIP,20190311,LOWEST
FOX,20190207,LOW
FOXA,20190207,LOW
UBNT,20190311,LOWEST
ULTA,20190220,LOW
UMPQ,20190311,LOWEST
UBSI,20190311,LOWEST
UTHR,20190220,LOW
OLED,20190311,LOWEST
VLY,20190311,LOWEST
VNQI,20190311,LOWEST
VCIT,20190311,LOWEST
VGIT,20190311,LOWEST
VMBS,20190311,LOWEST
VCSH,20190311,LOWEST
VTIP,20190311,LOWEST
VGSH,20190311,LOWEST
BND,20190311,LOWEST
BNDX,20190311,LOWEST
VXUS,20190311,LOWEST
VEON,20190220,LOW
VRNT,20190311,LOWEST
VRSN,20190311,LOWEST
VRSK,20190311,LOWEST
VRTX,20190214,LOW
VIA,20190220,LOW
VIAB,20190220,LOW
VSAT,20190311,LOWEST
VNOM,20190311,LOWEST
VIRT,20190220,LOW
VIRT,20190131,LOW
VOD,20190131,LOW
WBA,20190220,LOW
WB,20190220,LOW
WB,20190131,LOW
WEN,20190220,LOW
WDC,20190220,LOW
WLTW,20190311,LOWEST
WTFC,20190311,LOWEST
WIX,20190311,LOWEST
WWD,20190311,LOWEST
WDAY,20190208,LOW
WMGI,20190311,LOWEST
WYNN,20190207,LOW
XEL,20190220,LOW
XLNX,20190219,LOW
YY,20190311,LOWEST
ZBRA,20190311,LOWEST
Z,20190311,LOWEST
ZG,20190311,LOWEST
ZION,20190220,LOW
ZS,20190220,LOW
ZNGA,20190220,LOW
MMM,20190220,LOW
WUBA,20190311,LOWEST
AOS,20190220,LOW
AAN,20190311,LOWEST
ABT,20190220,LOW
ABBV,20190209,LOW
ACN,20190220,LOW
AYI,20190311,LOWEST
ADT,20190311,LOWEST
AAP,20190311,LOWEST
ACM,20190220,LOW
ACM,20190131,LOW
AEG,20190220,LOW
AER,20190220,LOW
AMG,20190220,LOW
AFL,20190220,LOW
AFL,20190131,LOW
AGCO,20190311,LOWEST
A,20190311,LOWEST
AEM,20190311,LOWEST
AL,20190215,LOW
APD,20190220,LOW
ALK,20190311,LOWEST
ALB,20190131,LOW
AA,20190220,LOW
AA,20190131,LOW
ARE,20190311,LOWEST
AQN,20190311,LOWEST
Y,20190311,LOWEST
ALLE,20190311,LOWEST
ALE,20190311,LOWEST
ADS,20190220,LOW
ALSN,20190311,LOWEST
ALL,20190311,LOWEST
ALLY,20190311,LOWEST
AYX,20190311,LOWEST
ATUS,20190215,LOW
MO,20190220,LOW
ABEV,20190208,LOW
AEE,20190311,LOWEST
ACC,20190311,LOWEST
AEO,20190214,LOW
AEP,20190220,LOW
AXP,20190220,LOW
AXP,20190131,LOW
AFG,20190311,LOWEST
AMH,20190311,LOWEST
AIG,20190220,LOW
AIG,20190131,LOW
AMT,20190220,LOW
AWK,20190311,LOWEST
COLD,20190311,LOWEST
AMP,20190311,LOWEST
ABC,20190220,LOW
AMRX,20190311,LOWEST
APH,20190311,LOWEST
AME,20190311,LOWEST
PLAN,20190311,LOWEST
ANDX,20190311,LOWEST
BUD,20190202,LOW
NLY,20190220,LOW
AM,20190311,LOWEST
ANTM,20190220,LOW
ANTM,20190131,LOW
AON,20190213,LOW
AIV,20190311,LOWEST
APLE,20190311,LOWEST
ATR,20190311,LOWEST
APTV,20190220,LOW
WTR,20190220,LOW
ARMK,20190311,LOWEST
ARNC,20190220,LOW
ANET,20190220,LOW
AWI,20190220,LOW
ARW,20190311,LOWEST
AJG,20190220,LOW
ASX,20190311,LOWEST
ASH,20190221,LOW
ASH,20190201,LOW
ASB,20190312,LOWEST
AIZ,20190312,LOWEST
AGO,20190312,LOWEST
ATH,20190221,LOW
ATO,20190312,LOWEST
AUO,20190312,LOWEST
ACB,20190221,LOW
ATHM,20190312,LOWEST
ALV,20190213,LOW
AZO,20190207,LOW
AVLR,20190312,LOWEST
AVB,20190312,LOWEST
AGR,20190221,LOW
AVY,20190312,LOWEST
EQH,20190312,LOWEST
AXTA,20190221,LOW
AXS,20190312,LOWEST
BLL,20190221,LOW
BBD,20190221,LOW
BBD,20190201,LOW
BBDO,20190221,LOW
BBDO,20190201,LOW
BCH,20190312,LOWEST
BSBR,20190312,LOWEST
BSAC,20190312,LOWEST
BSMX,20190312,LOWEST
SAN,20190221,LOW
CIB,20190312,LOWEST
BOH,20190312,LOWEST
BMO,20190221,LOW
BK,20190215,LOW
BKU,20190312,LOWEST
BHC,20190221,LOW
BHC,20190201,LOW
BAX,20190202,LOW
BBT,20190221,LOW
BCE,20190221,LOW
BDX,20190312,LOWEST
BMS,20190221,LOW
BBY,20190207,LOW
BBL,20190221,LOW
BIO,20190312,LOWEST
BJ,20190312,LOWEST
BKH,20190312,LOWEST
BKI,20190312,LOWEST
BSM,20190312,LOWEST
BB,20190207,LOW
BAH,20190312,LOWEST
BWA,20190312,LOWEST
SAM,20190312,LOWEST
BXP,20190312,LOWEST
BSX,20190221,LOW
BSX,20190201,LOW
BAK,20190221,LOW
BAK,20190201,LOW
BFAM,20190312,LOWEST
BCO,20190312,LOWEST
BRX,20190312,LOWEST
BR,20190221,LOW
BIP,20190221,LOW
BEP,20190312,LOWEST
BRO,20190312,LOWEST
BC,20190312,LOWEST
BT,20190221,LOW
BPL,20190221,LOW
BPL,20190201,LOW
BVN,20190312,LOWEST
BURL,20190312,LOWEST
BWXT,20190312,LOWEST
CABO,20190312,LOWEST
COG,20190202,LOW
CACI,20190312,LOWEST
CAE,20190221,LOW
CPT,20190312,LOWEST
CCJ,20190312,LOWEST
CPB,20190206,LOW
CM,20190208,LOW
CNI,20190221,LOW
CNQ,20190221,LOW
CNQ,20190201,LOW
CP,20190312,LOWEST
CAJ,20190221,LOW
CAJ,20190201,LOW
CGC,20190221,LOW
COF,20190221,LOW
COF,20190201,LOW
BXMT,20190312,LOWEST
CPRI,20190221,LOW
CAH,20190312,LOWEST
CSL,20190312,LOWEST
KMX,20190312,LOWEST
CCL,20190221,LOW
CCL,20190201,LOW
CUK,20190312,LOWEST
CRI,20190221,LOW
CTLT,20190312,LOWEST
CAT,20190202,LOW
CBRE,20190221,LOW
CBS,20190221,LOW
CE,20190312,LOWEST
CX,20190312,LOWEST
CVE,20190221,LOW
CNC,20190221,LOW
CNP,20190312,LOWEST
EBR,20190312,LOWEST
CTL,20190221,LOW
CTL,20190201,LOW
CDAY,20190312,LOWEST
CF,20190221,LOW
GIB,20190219,LOW
CRL,20190221,LOW
CHGG,20190312,LOWEST
CHE,20190312,LOWEST
CC,20190312,LOWEST
CHK,20190207,LOW
CIM,20190312,LOWEST
CEA,20190207,LOW
