GOOGL,Alphabet Inc,20190514,REFILE-Citigroup looks to vastly expand India reach with Paytm tie-up ,MUMBAI  May 14 India's top digital payments firm Paytm on Tuesday launched a credit card with Citigroup  widening its financial product base while giving its banking partner an opportunity to vastly expand its credit card customer base in the country.,normal
AMZN,Amazoncom Inc,20190607,FedEx to end Amazon contract for FedEx Express plane service ,FedEx Corp on Friday decided to not renew its contract with Amazon.com Inc for U.S. cargo delivery through FedEx Express  the unit that delivers packages on planes  a move that reflects the broader trend of the e-commerce company moving services in-house.,topStory
AMZN,Amazoncom Inc,20190607,UPDATE 4-FedEx to end Amazon contract for FedEx Express plane service ,June 7 FedEx Corp on Friday decided to not renew its contract with Amazon.com Inc for U.S. cargo delivery through FedEx Express  the unit that delivers packages on planes  a move that reflects the broader trend of the e-commerce company moving services in-house.,normal
AMZN,Amazoncom Inc,20190607,FedEx to not renew FedEx Express domestic contract with Amazon ,June 7 FedEx Corp said on Friday it "has made the strategic decision to not renew the FedEx Express U.S. domestic contract with Amazon.com Inc".,normal
AMZN,Amazoncom Inc,20190607,STS Media gears up to bid for Boost Mobile with sale of FreedomPop ,Prepaid wireless provider STS Media said on Friday it has agreed to sell its FreedomPop brand to Red Pocket Mobile  as STS readies itself to place a bid for Sprint Corp's Boost Mobile.,normal
AMZN,Amazoncom Inc,20190607,UPDATE 1-STS Media gears up to bid for Boost Mobile with sale of FreedomPop ,June 7 Prepaid wireless provider STS Media said on Friday it has agreed to sell its FreedomPop brand to Red Pocket Mobile  as STS readies itself to place a bid for Sprint Corp's Boost Mobile.,normal
AMZN,Amazoncom Inc,20190606,Amazon's Bezos says robotic hands will be ready for commercial use in next 10 years ,LAS VEGAS Amazon.com Inc Chief Executive Jeff Bezos said on Thursday he expects there will be commercial robots in the next 10 years that can grasp items as reliably as humans  a development that could lead to the automation of warehouse jobs around the world.,topStory
AMZN,Amazoncom Inc,20190606,UPDATE 2-Amazon's Bezos says robotic hands will be ready for commercial use in next 10 years ,LAS VEGAS  June 6 Amazon.com Inc Chief Executive Jeff Bezos said on Thursday he expects there will be commercial robots in the next 10 years that can grasp items as reliably as humans  a development that could lead to the automation of warehouse jobs around the world.,normal
AMZN,Amazoncom Inc,20190606,Exclusive: FedEx to hire 700 flexible rural and residential drivers ,LOS ANGELES FedEx Corp said it plans to hire about 700 flexible  part-time Express drivers in 160 U.S. residential and rural markets as customer-turned-competitor Amazon.com Inc puts pressure on established delivery firms.,normal
AMZN,Amazoncom Inc,20190606,Amazon CEO Bezos says robotic hands ready for prime time in next 10 years ,LAS VEGAS  June 6 Jeff Bezos  Amazon.com Inc's chief executive and founder  said on Thursday he expects the challenge of building robots for commercial use that can grasp items as efficiently as human hands will be solved in the next 10 years.,normal
